vowel,speaker_1,speaker_2,overlap_coefficient,bhattacharyya_coefficient,hellinger_distance
i,7a414497-Audio_SP15,85c7895f-Audio_SP16,0.6527100205421448,0.8994895815849304,0.31703378118911807
i,12c532f8-Audio_SP15,a452055c-Audio_SP11,0.6522970795631409,0.8971169590950012,0.3207538634295755
i,5278b5b9-Audio_SP15,7a414497-Audio_SP15,0.6518252491950989,0.8818185329437256,0.34377531478608875
i,181d5ce9-Audio_SP21,adad0062-Audio_SP17,0.6514616012573242,0.8829435706138611,0.3421351039956861
i,0af9ac47-Audio_SP14,5586979c-Audio_SP18,0.6510928273200989,0.8894544839859009,0.3324838582760058
i,2e25304d-Audio_SP12,49ae7020-Audio_SP17,0.6507575511932373,0.8906378149986267,0.3306995388587249
i,adad0062-Audio_SP17,cafd9c21-Audio_SP27,0.6502793431282043,0.8927069306373596,0.32755620794398077
i,63239054-Audio_SP15,a452055c-Audio_SP11,0.6497180461883545,0.8952340483665466,0.3236756889750192
i,adad0062-Audio_SP17,c3533b36-Audio_SP16,0.6492493152618408,0.896565854549408,0.3216117930838234
i,5a932187-audio_SP16,c3533b36-Audio_SP16,0.6485459804534912,0.8969331383705139,0.3210402803846989
i,12c532f8-Audio_SP15,c3533b36-Audio_SP16,0.6481632590293884,0.8908443450927734,0.3303871288461864
i,514fc6b6-Audio_SP19,a1a056ce-Audio_SP11,0.6475608348846436,0.8863359689712524,0.33714096610875927
i,1c403477-Audio_SP13,7dec1dd7-Audio_SP13,0.6473343968391418,0.8773385882377625,0.3502305123232948
i,a1a056ce-Audio_SP11,f061152e-Audio_SP12,0.6466143727302551,0.8567935228347778,0.37842631669219595
i,1d46eb6e-Audio_SP18,30a90cb2-Audio_SP21,0.6457546949386597,0.9003149271011353,0.3157294298903172
i,5819ce7a-Audio_SP11,e90f8e4d-Audio_SP22,0.6454409956932068,0.8914635181427002,0.32944875452382544
i,0af9ac47-Audio_SP14,63239054-Audio_SP15,0.645152747631073,0.8746703267097473,0.3540193120300822
i,1c403477-Audio_SP13,30a90cb2-Audio_SP21,0.6429850459098816,0.8575825095176697,0.37738241941342515
i,1c403477-Audio_SP13,5278b5b9-Audio_SP15,0.6426084041595459,0.8850225210189819,0.33908329209947524
i,7dec1dd7-Audio_SP13,cafd9c21-Audio_SP27,0.6415836215019226,0.8829715251922607,0.34209424842832314
i,5278b5b9-Audio_SP15,919b9bc1-Audio_SP14,0.6415620446205139,0.8681741952896118,0.36307823497200736
i,1c403477-Audio_SP13,713a2f9b-Audio_SP16,0.6408066153526306,0.8920893669128418,0.32849753893622735
i,1c403477-Audio_SP13,5586979c-Audio_SP18,0.64056795835495,0.8820052146911621,0.3435036903860538
i,0af9ac47-Audio_SP14,1c403477-Audio_SP13,0.6402349472045898,0.865411102771759,0.36686359485269315
i,0e6115f2-Audio_SP19,7dec1dd7-Audio_SP13,0.6401119232177734,0.8908627033233643,0.33035934476965495
i,a452055c-Audio_SP11,adad0062-Audio_SP17,0.639509916305542,0.8910744786262512,0.3300386664828059
i,5278b5b9-Audio_SP15,a452055c-Audio_SP11,0.6379891633987427,0.8878166079521179,0.33493789282176195
i,1c403477-Audio_SP13,85c7895f-Audio_SP16,0.637788712978363,0.8890764713287354,0.33305184081650807
i,061ea7d0-Audio_SP16,7dec1dd7-Audio_SP13,0.637624204158783,0.8853010535240173,0.338672329067467
i,0af9ac47-Audio_SP14,dbeec025-Audio_SP13,0.637474536895752,0.8725485801696777,0.35700338910201157
i,061ea7d0-Audio_SP16,c3533b36-Audio_SP16,0.6359307765960693,0.8913162350654602,0.32967220831386407
i,0af9ac47-Audio_SP14,7aee4437-Audio_SP12,0.6342780590057373,0.8672426342964172,0.36435884194511153
i,181d5ce9-Audio_SP21,dbeec025-Audio_SP13,0.6342300772666931,0.8708633780479431,0.3593558430748788
i,919b9bc1-Audio_SP14,c3533b36-Audio_SP16,0.6341649293899536,0.8769652843475342,0.3507630477294691
i,5a932187-audio_SP16,a452055c-Audio_SP11,0.6330637335777283,0.890511155128479,0.33089098638603165
i,a1a056ce-Audio_SP11,d4c363bf-Audio_SP13,0.6326829195022583,0.8650290369987488,0.36738394494214255
i,181d5ce9-Audio_SP21,1c403477-Audio_SP13,0.6324931383132935,0.8761253356933594,0.3519583275142678
i,181d5ce9-Audio_SP21,919b9bc1-Audio_SP14,0.6324129104614258,0.8711660504341125,0.3589344641656572
